sum,polling,mun,gouv,gouv_en,lat,lon
300,م إبتدائية حي مارس - اللبة,مدنين,مدنين,Medenine,33.318678,10.499922
664,م إبتدائية ذهيبة الغربية - ذهبية الغربية,ذهيبة,تطاوين,Tataouine,32.012437,10.691562
556,م إبتدائية نكريف رمادة,رمادة,تطاوين,Tataouine,32.187898,10.469109
789,م إبتدائية الطاهر بوضرع رمادة - رمادة الغربية,رمادة,تطاوين,Tataouine,32.314612,10.395913
1264,م إبتدائية البشير النبهاني رمادة - رمادة الغربية,رمادة,تطاوين,Tataouine,32.314612,10.395913
688,م إبتدائية 2مارس 4391 رمادة - رمادة الشرقية,رمادة,تطاوين,Tataouine,32.319504,10.401087
1412,م إبتدائية 2مارس 4391 ذهيبة - ذهيبة الشرقية,ذهيبة,تطاوين,Tataouine,32.319504,10.401087
1446,م إبتدائية 2مارس 4391 الصمار,الصمار,تطاوين,Tataouine,32.319504,10.401087
318,م إبتدائية بئر عمير رمادة,رمادة,تطاوين,Tataouine,32.60173,10.150158
626,م إبتدائية بئر ث?ثين تطاوين,تطاوين الجنوبية/ شنني الدويرات,تطاوين,Tataouine,32.695014,10.330461
414,م إبتدائية رمثة تطاوين - القلعة الغربية,تطاوين,تطاوين,Tataouine,32.734983,10.477651
651,م إبتدائية قصر أو?د سلطان تطاوين - القلعة الشرقية,تطاوين,تطاوين,Tataouine,32.790411,10.518092
307,م إبتدائية تاملست تطاوين - القلعة الغربية,تطاوين,تطاوين,Tataouine,32.791125,10.471831
570,م إبتدائية الزهرة تطاوين,تطاوين,تطاوين,Tataouine,32.817148,10.565117
1101,م إبتدائية المزطورية الجنوبية تطاوين,تطاوين,تطاوين,Tataouine,32.847862,10.475582
312,م إبتدائية الحشانة تطاوين - خاتمة,تطاوين,تطاوين,Tataouine,32.851321,10.640669
334,م إبتدائية الدويرات تطاوين,تطاوين الجنوبية/ شنني الدويرات,تطاوين,Tataouine,32.858275,10.287425
640,م إبتدائية بني مهيرة الصمار - بني مهيرة الشرقية,الصمار,تطاوين,Tataouine,32.861261,10.81302
1045,م إبتدائية بني مهيرة الجديدة - بني مهيرة الغربية,الصمار,تطاوين,Tataouine,32.861261,10.81302
712,م إبتدائية المزطورية الشمالية تطاوين,تطاوين,تطاوين,Tataouine,32.864152,10.474599
955,م إبتدائية قصر عون الصمار,الصمار,تطاوين,Tataouine,32.870369,10.886657
1678,م إبتدائية قصر أو?د دباب تطاوين - المسرب,تطاوين الجنوبية/ شنني الدويرات,تطاوين,Tataouine,32.873789,10.382526
402,م إبتدائية تونكت تطاوين - بني بركة - تونكت,تطاوين الجنوبية/ شنني الدويرات,تطاوين,Tataouine,32.875144,10.485135
1086,م إبتدائية الهداية تطاوين - الرقبة,تطاوين,تطاوين,Tataouine,32.900963,10.423968
