id;NAME_EN;POP;chair;gouv_name;state;area;LABEL_AR;NAME_AR
1;abida;24294;24;Medenine;old;158.01;اجيم;اجيم
2;agareb;114486;36;Ariana;old;18.38;اريانة;أريانة
3;aîn djeloula;10835;18;Nabeul;extended;91.03;أزمور;أزمور
4;aïn drahem;27200;24;Sousse;extended;23.10;أكودة;أكودة
5;aïn el khemaïssia;25267;24;SidiBouzid;new;349.4;الاحواز;لسودة
6;ajim;20406;18;Mahdia;extended;109.02;البرادعة;البرادعة
7;akouda;13701;18;Manouba;new;172.1;البساتين;البساتين
8;amiret el fehoul;18977;18;Manouba;extended;156.75;البطان;البطان
9;amiret el hojjaj;17850;18;Monastir;old;43.99;البقالطة;البقالطة
10;amiret touazra;84312;30;Ariana;old;3.29;التضامن;التضامن
11;Ariana;38695;24;Jendouba;new;249.164;التطور;سوق السبت
12;azmour;44748;24;Manouba;extended;182.8;الجديدة;الجديدة
13;bahra;9807;12;Kef;old;176.24;الجريصة;الجريصة
14;balta bou aouane;33866;24;Mahdia;extended;167.3;الجم;الجم
15;bargou;19455;18;Sfax;new;46.42;الحاجب;الحاجب
16;baten elghezel;54192;30;Gabes;extended;944.90;الحامة;الحامة
17;bechelli;11211;18;Siliana;new;379.835;الحبابسية;الحبابسة
18;Beja;19320;18;Gabes;new;1695.2;الحبيب ثامر;الحبيب ثامر - بوعطوش
19;bekalta;18797;18;Bizerte;new;364.8;الحشاشنة;الحشاشنة
20;belkhir;16632;18;Mahdia;new;81.887;الحكائمة;الحكايمة
21;bembla el manara;83633;30;Nabeul;extended;131.752;الحمامات;الحمامات
22;Ben Arous;32247;24;Sfax;extended;351.80;الحنشة;الحنشة
23;ben guerdane;19156;18;BenArous;extended;180;الخليدية;الخليدية
24;benen bodher;12175;12;Jendouba;new;169.198;الخمايرية;الخمايرية
25;beni hassen;26787;24;Manouba;old;3.47;الدندان;الدندان
26;beni khalled;27907;24;Kef;extended;549.95;الدهماني;الدهماني
27;beni khiar;10311;18;Mahdia;old;15.42;الرجيش;الرجيش
28;beni m'tir;14958;18;Kasserine;new;236.1;الرخمات;الرخمات
29;beni-khedech;26976;24;Gafsa;extended;403.51;الرديف;الرديف
30;bennour;41823;24;SidiBouzid;extended;741.30;الرقاب;الرقاب
31;bir ali ben khelifa;14740;18;Siliana;extended;281.71;الروحية;الروحية
32;bir el hafey;9125;12;Gabes;extended;118.08;الزارات;الزارات
33;bir lahmar;24617;18;Zaghouan;extended;339.26;الزريبة;الزريبة
34;bir m'chergua;34962;24;BenArous;old;7;الزهراء;الزهراء
35;Bizerte;64532;30;Sousse;old;10.08;الزهور;الزهور
36;borj el amri;21819;18;Kasserine;new;3.17;الزهور;الزهور - القصرين
37;bou argoub;18996;18;Monastir;old;29.01;الساحلين;الساحلين - معتمر
38;bou charray ech-cherifet;40206;24;Kairouan;extended;746.10;السبيخة;السبيخة
39;bou merdes;17787;18;Kef;extended;282.8;السرس;السرس
40;bou mhel el bassatine;6073;12;Beja;new;83.878;السلوقية;السلوقية
41;bou salem;21487;18;Gafsa;extended;448.85;السند;السند
42;bouarada;29324;24;Mahdia;extended;194.7;السواسي;السواسي
43;bou-chemma;24515;18;Mahdia;extended;116.49;الشابة;الشابة
44;bouficha;20275;18;Kairouan;extended;295.33;الشبيكة;الشبيكة
45;bou-ghrara;13692;18;Kairouan;extended;137.55;الشراردة;الشراردة
46;bouhajla;13826;18;Kairouan;new;192.166;الشرايطية القصور;الشرايطية - القصور
47;bou-hjar;23899;18;Kasserine;new;640.3;الشرائع مشرق الشمس;الشرائع - مشرق الشمس
48;bourouis;12210;18;Nabeul;new;44.10;الشريفات-بوشراي;الشريفات - بوشراي
49;bouzguam;34673;24;Sfax;extended;908.77;الصخيرة;الصخيرة
50;carthage;14793;18;Tataouine;new;1990.08;الصمار;الصمار
51;cebalet ouled asker;8498;12;Nabeul;extended;50.37;الصمعة;الصمعة
52;chaouachi;6592;12;Kef;extended;322.26;الطويرف;الطويرف
53;chebba;27057;24;Bizerte;extended;84.89;العالية;العالية
54;chenini eddouiret;30599;24;Sfax;new;180.25;العامرة;العامرة
55;chenini nahal;9907;12;Siliana;extended;360.34;العروسة;العروسة
56;cherahil;17804;18;Sfax;new;340.24;العشاش;العشاش بوجربوع العوادنة ماجل الدرج
57;cheraitia;28991;24;Kairouan;extended;361.02;العلا;العلا
58;chihia;11993;18;Zaghouan;new;548.1;العمايم;العمايم
59;chorbane;34944;24;Sfax;new;167.10;العوابد الخزانات;العوابد - الخزانات
60;chott meriam;43333;24;Sfax;old;14.92;العين;العين
61;dahmani;19211;18;Kasserine;new;411.25;العيون;العيون
62;dar allouch;15776;18;Sfax;extended;431.27;الغريبة;الغريبة
63;dar châabane;34456;24;Zaghouan;extended;377.8;الفحص;الفحص
64;deguach;15376;18;Kebili;new;7231.97;الفوار;الفوار
65;dekhilet toujane;22116;18;Sousse;new;134.48;القريمات هيشر;القريمات - هيشر
66;den-den;29739;24;Gafsa;extended;281.61;القصر;القصر
67;dhehbia;31823;24;Kasserine;extended;582.0;القصرين;القصرين
68;djebeniana;15215;18;Kef;extended;450.04;القصور;القصور
69;djedaïda;20137;18;Gafsa;extended;932.66;القطار;القطار
70;djedeliane;7912;12;Kebili;old;51.74;القلعة;القلعة
71;djerissa;6652;12;Kef;extended;206.33;القلعة الخصباء;القلعة الخصباء
72;djoumine;37797;24;Sousse;extended;102.49;القلعة الصغرى;القلعة الصغرى
73;douar hicher;59132;30;Sousse;extended;238.30;القلعة الكبرى;القلعة الكبرى
74;douz;13377;18;Jendouba;new;241.412;القلعة المعدن فرقصان;القلعة - المعدن - فرقصان
75;echbika;165761;36;Kairouan;extended;460.60;القيروان;القيروان
76;ech-chraya machrek ech-chams;60876;30;Kef;extended;217.4;الكاف;الكاف
77;echrarda;74132;30;Tunis;old;9.58;الكرم;الكرم
78;el achech;20155;18;Siliana;extended;424.01;الكريب;الكريب
79;el ahouaz;38634;24;Gafsa;extended;972.6;المتلوي;المتلوي
80;el aïn;34257;24;Sfax;extended;435.75;المحرص;المحرص
81;el aîn el beidha;66439;30;BenArous;extended;98.33;المحمدية;المحمدية
82;el alâa;5472;12;Kef;new;147.60;المرجى;المرجى
83;el alia;92987;30;Tunis;old;31.6;المرسى;المرسى
84;el amiem;28986;24;Manouba;extended;88.6;المرناقية;المرناقية
85;el amra;104538;36;BenArous;old;16;المروج;المروج
86;el aouabed khazanet;12930;18;Sousse;old;5.69;المسعدين;المسعدين
87;el aroussa;15321;18;Gabes;extended;146.06;المطوية;المطوية
88;el ayoun;15306;18;Gafsa;extended;643.95;المظيلة;المظيلة
89;el bassatine;15554;18;Beja;extended;213.61;المعقولة;المعقولة
90;el battane;10994;18;Nabeul;extended;23.18;المعمورة;المعمورة
91;el bradâa;23789;18;SidiBouzid;extended;623.30;المكانسي;المكناسي
92;el djem;57111;30;Monastir;old;56.61;المكنين;المكنين
93;el fahs;93306;30;Monastir;old;42.95;المنستير;المنستير
94;el galaa el mâaden forgassen;9658;12;SidiBouzid;new;226.291;المنصورة;المنصورة
95;el ghraiba;89884;30;Ariana;new;23.56;المنيهلة;المنيهلة
96;el golaa;52602;30;Mahdia;extended;68.66;المهدية;المهدية
97;el guetar;26995;24;Nabeul;extended;155.19;الميدة;الميدة
98;el hababsa;15051;18;Jendouba;new;241.412;الناظور;الناظور
99;el hachachna;30366;24;Zaghouan;extended;355.43;الناظور;الناظور
100;el hajeb;20855;18;Sfax;new;662.1;الناظور سيدي علي;الناظور - سيدي علي بلعابد
101;el hamma;16976;18;Sfax;new;174.9;النصر;النصر
102;el haouaria;27219;24;Sousse;extended;243.20;النفيضة;النفيضة
103;el hekaima;40573;24;Kasserine;new;4.58;النور;النور
104;el hencha;25995;24;Nabeul;extended;136.3;الهوارية;الهوارية
105;el krib;21814;18;Monastir;old;51.31;الوردانين;الوردانين
106;el ksar;27672;24;Kairouan;extended;758.2;الوسلاتية;الوسلاتية
107;el ksour;22798;18;Gafsa;extended;798.9;أم العرائس;أم العرائس
108;el mâagoula;19922;18;Bizerte;new;381.12;اوتيك;أوتيك
109;el mâamoura;19579;18;SidiBouzid;extended;422.09;اولاد حفوز;أولاد حفوز
110;el mansoura;23020;18;Mahdia;extended;357.60;اولاد شامخ;أولاد شامخ
111;el marja;83780;30;Beja;extended;49.98;باجة;باجة
112;el metouia;71691;30;Tunis;old;6.67;باردو;باردو
113;el mida;15507;18;SidiBouzid;new;277.1;باطن G23;باطن الغزال
114;El Mnihla;17408;18;Manouba;extended;175.74;برج العامري;برج العامري
115;el mourouj;12482;18;Siliana;extended;457.56;برقو;برقو
116;El Ooueslatia;8960;12;Kebili;new;912.990;بشري فطناسة;بشري فطناسة
117;en nadhour;13141;18;Kebili;new;430.280;بشلي جرسين البليدات;بشلي - جرسين - البليدات
118;enfidha;14784;18;Gafsa;new;840.21;بلخير;بلخير
119;en-nadhour sidi ali belabed;30268;24;Jendouba;new;266.19;بلطة بوعوان;بلطة بوعوان
120;en-nasr;88322;30;BenArous;old;14.56;بن عروس;بن عروس
121;ennour;79912;30;Medenine;extended;4799.3;بن قردان;بن قردان
122;errakhmet;14258;18;Monastir;old;18.5;بنان بوضر;بنان - بوضر
123;er-rouhia;16087;18;Monastir;old;21.29;بنبلة المنارة;بنبلة - المنارة
124;essaïda;167759;36;Bizerte;extended;457.97;بنزرت;بنزرت
125;es-sers;24183;18;SidiBouzid;new;445.2;بنور;الفائض بنور
126;es-slouguia;8801;12;Monastir;old;29.97;بني حسان;بني حسان
127;essouassi;25885;24;Medenine;extended;1385.75;بني خداش;بني خداش
128;Ettadhamen;26135;24;Nabeul;extended;77.33;بني خلاد;بني خلاد
129;ettataouer souk el sebt;23640;18;Nabeul;extended;32.77;بني خيار;بني خيار
130;ez zeriba;5553;12;Jendouba;extended;85.56;بني مطير;بني مطير
131;ez-zahra;6168;12;Kef;new;166.855;بهرة;بهرة
132;ezzarat;16726;18;Mahdia;extended;87.68;بو مردس;بومرداس
134;Ezzouhour;6137;12;Monastir;old;4.33;بوحجر;بوحجر
133;ezzouhour;47615;24;Kairouan;extended;382.3;بوحجلة;بوحجلة
135;faouar;12618;18;Siliana;extended;274.20;بورويس;بورويس
136;fatnassa;14579;18;Kasserine;new;375.9;بوزقام;بوزقام
137;feriana;43997;24;Jendouba;extended;319.04;بوسالم;بوسالم
