mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;porcentage_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes;deputy
Beja;باجة;Liste partisane;Courant Démocrate;حزب التیار الدیمقراطي;670;0.0638764419868434;2;41646;586;314;10489;11389;no
Ben Arous;بن عروس;Liste partisane;Courant Démocrate;التیار الدمقراطي;1399;0.117770856132671;4;46708;536;246;11879;12661;yes
Beni Hassen;بني حسان;Liste partisane;Courant Démocrate;التیار الدمقراطي;94;0.032103825136612;0;5127;101;33;2928;3062;no
Borj El Amri;برج العامري;Liste partisane;Courant Démocrate;التیار الدمقراطي;455;0.172610015174507;3;9449;180;56;2636;2872;no
Bou Arada;بوعرادة;Liste partisane;Courant Démocrate;التیار الدمقراطي;259;0.0824053452115813;2;9568;170;84;3143;3397;no
Bou Mhel El Bassatine;بومهل البساتين;Liste partisane;Courant Démocrate;التیار الدمقراطي;870;0.147682906127992;4;18334;201;123;5891;6215;yes
Bouficha;بوفيشة;Liste partisane;Courant Démocrate;التیار الدمقراطي;471;0.0754444978375781;2;12531;283;109;6243;6635;no
Chebba;الشابة;Liste partisane;Courant Démocrate;التیار الدمقراطي;595;0.0769927536231884;2;16689;231;115;7728;8074;no
Chenini Nahal;شنني - نحال;Liste partisane;Courant Démocrate;التیار الدمقراطي;744;0.27143378329077;5;9987;102;65;2741;2908;no
Chihia;شيحية;Liste partisane;Courant Démocrate;التیار الدمقراطي;3049;0.395050531225706;10;20091;184;115;7718;8017;yes
Cité Ettadhamen;التضامن;Liste partisane;Courant Démocrate;التیار الدمقراطي;855;0.128765060240964;4;35966;402;218;6640;7260;no
Djedaïda;الجديدة;Liste partisane;Courant Démocrate;التیار الدمقراطي;469;0.0714394516374714;2;20932;303;157;6565;7025;no
Douar Hicher;دوار هيشر;Liste partisane;Courant Démocrate;التیار الدمقراطي;624;0.0913482652613087;3;31394;644;172;6831;7647;no
Douz;دوز;Liste partisane;Courant Démocrate;حزب التیار الدیمقراطي;1038;0.142994902879185;3;22819;226;132;7259;7617;no
El Ain;العين;Liste partisane;Courant Démocrate;حزب التیار الدیمقراطي;3432;0.324477640162617;8;28468;247;196;10577;11020;no
El Aouabed El Khazanet;العوابد - الخزانات;Liste partisane;Courant Démocrate;حزب التیار الدیمقراطي;296;0.0651265126512651;2;12781;131;91;4545;4767;no
El Ayoun;العيون;Liste partisane;Courant Démocrate;التیار الدمقراطي;225;0.051712250057458;1;8435;207;63;4351;4621;no
El Bassatine;البساتين;Liste partisane;Courant Démocrate;التیار الدمقراطي;299;0.147946561108362;3;5549;144;78;2021;2243;no
El Mourouj;المروج;Liste partisane;Courant Démocrate;التیار الدمقراطي;2214;0.151436388508892;6;50600;325;195;14620;15140;yes
Enfidha;النفيضة;Liste partisane;Courant Démocrate;التیار الدمقراطي;335;0.0482778498342701;1;15065;375;140;6939;7454;no
Ennour;النور;Liste partisane;Courant Démocrate;التیار الدمقراطي;1154;0.19307344821817;5;22947;282;119;5977;6378;no
Ezzouhour - Kasserine;الزهور - القصرين;Liste partisane;Courant Démocrate;حزب التیار الدیمقراطي;902;0.196086956521739;4;14131;231;71;4600;4902;no
Ezzriba;الزريبة;Liste partisane;Courant Démocrate;التیار الدمقراطي;243;0.0453781512605042;1;12590;268;112;5355;5735;no
Gabes;قابس;Liste partisane;Courant Démocrate;التیار الدمقراطي;2478;0.171357444160155;5;51010;261;251;14461;14973;no
Gafsa;قفصة;Liste partisane;Courant Démocrate;التیار الدمقراطي;1008;0.0680851063829787;3;54251;469;185;14805;15459;no
Gremda;قرمدة;Liste partisane;Courant Démocrate;حزب التیار الدیمقراطي;1178;0.14514539181863;3;17166;116;92;8116;8324;no
Hajeb El Ayoun;حاجب العيون;Liste partisane;Courant Démocrate;التیار الدمقراطي;522;0.0918528945979236;2;11965;330;101;5683;6114;no
Hammam Chott;حمام الشط;Liste partisane;Courant Démocrate;التیار الدمقراطي;882;0.141937560347602;3;18086;220;97;6214;6531;yes
Hammamet;الحمامات;Liste partisane;Courant Démocrate;التیار الدمقراطي;493;0.033834328460641;1;43262;408;229;14571;15208;no
Jemna;جمنة;Liste partisane;Courant Démocrate;حزب التیار الدیمقراطي;891;0.498322147651007;6;3992;51;31;1788;1870;no
Kairouan;القيروان;Liste partisane;Courant Démocrate;التیار الدمقراطي;1555;0.0827127659574468;3;71387;636;310;18800;19746;no
Kalaat Khasbat;القلعة الخصباء;Liste partisane;Courant Démocrate;التیار الدمقراطي;236;0.115178135675939;2;3766;136;43;2049;2228;no
Kasserine;القصرين;Liste partisane;Courant Démocrate;التیار الدمقراطي;815;0.136356031453907;3;19675;204;83;5977;6264;no
Kebili;قبلي;Liste partisane;Courant Démocrate;حزب التیار الدیمقراطي;805;0.118854274324524;3;23887;231;175;6773;7179;no
Kelibia;قليبية;Liste partisane;Courant Démocrate;التیار الدمقراطي;670;0.0702011735121542;2;24622;231;120;9544;9895;no
Kesra;كسرى;Liste partisane;Courant Démocrate;التیار الدمقراطي;406;0.167560874948411;3;7794;207;72;2423;2702;no
Kondar;كندار;Liste partisane;Courant Démocrate;التیار الدمقراطي;225;0.0601765177855041;1;5973;237;67;3739;4043;no
Korba;قربة;Liste partisane;Courant Démocrate;التیار الدمقراطي;1632;0.177102550189908;5;24931;303;163;9215;9681;no
Ksour Essaf;قصور الساف;Liste partisane;Courant Démocrate;التیار الدمقراطي;711;0.121580027359781;3;15764;91;93;5848;6032;no
La Marsa;المرسى;Liste partisane;Courant Démocrate;حزب التیار الدیمقراطي;596;0.0313700721090584;1;51807;355;266;18999;19620;no
La Mornaguia;المرناقية;Liste partisane;Courant Démocrate;التیار الدمقراطي;457;0.098427740684902;2;14449;215;93;4643;4951;no
Le Bardo;باردو;Liste partisane;Courant Démocrate;حزب التیار الدیمقراطي;1836;0.140324059920514;4;44901;329;209;13084;13622;no
Mahdia;المهدية;Liste partisane;Courant Démocrate;التیار الدمقراطي;759;0.0726593911545089;2;28714;287;181;10446;10914;no
Manouba;منوبة;Liste partisane;Courant Démocrate;التیار الدمقراطي;723;0.102017779032031;2;22044;156;136;7087;7379;no
Mednine;مدنين;Liste partisane;Courant Démocrate;التیار الدمقراطي;822;0.0544767711577971;2;47023;382;238;15089;15709;no
Menzel Abderrahmane;منزل عبد الرحمان;Liste partisane;Courant Démocrate;التیار الدمقراطي;671;0.204013377926421;4;8139;171;68;3289;3528;no
Menzel Bouzelfa;منزل بوزلفة;Liste partisane;Courant Démocrate;التیار الدمقراطي;501;0.0790594918731261;2;21036;244;154;6337;6735;no
Mohamedia;المحمدية;Liste partisane;Courant Démocrate;التیار الدمقراطي;552;0.0743434343434344;2;26031;383;208;7425;8016;yes
Moulares;أم العرائس;Liste partisane;Courant Démocrate;التیار الدمقراطي;636;0.0941803642825411;2;16004;256;102;6753;7111;no
Msaken;مساكن;Liste partisane;Courant Démocrate;التیار الدمقراطي;1509;0.129372427983539;4;34825;336;183;11664;12183;no
Nabeul;نابل;Liste partisane;Courant Démocrate;التیار الدمقراطي;887;0.0538685776752095;2;41924;494;327;16466;17287;no
Oued Ellil;وادي الليل;Liste partisane;Courant Démocrate;التیار الدمقراطي;807;0.0960257020466445;3;30108;424;163;8404;8991;no
Ouled Chamekh;أولاد شامخ;Liste partisane;Courant Démocrate;التیار الدمقراطي;194;0.0494015788133435;1;9706;236;80;3927;4243;no
