NAME_AR;GOV_EN;GOV_AR
اجيم;Medenine;مدنين
أريانة;Ariana;أريانة
أزمور;Nabeul;نابل
أكودة;Sousse;سوسة
البرادعة;Mahdia;المهدية
البساتين;Manouba;منوبة
البطان;Manouba;منوبة
البقالطة;Monastir;المنستير
التضامن;Ariana;أريانة
الجديدة;Manouba;منوبة
الجريصة;Le Le Kef;الكاف
الجم;Mahdia;المهدية
الجواودة;Jendouba;جندوبة
الحاجب;Sfax;صفاقس
الحامة;Gabes;قابس
الحبابسة;Siliana;سليانة
الحبيب ثامر - بوعطوش;Gabes;قابس
الحشاشنة;Bizerte;بنزرت
الحكايمة;Mahdia;المهدية
الحمامات;Nabeul;نابل
الحنشة;Sfax;صفاقس
الخليدية;Ben Arous;بن عروس
الخمايرية;Jendouba;جندوبة
الدندان;Manouba;منوبة
الدهماني;Le Le Kef;الكاف
الذهيبة;Tataouine;تطاوين
الرجيش;Mahdia;المهدية
الرخمات;Kasserine;القصرين
الرديف;Gafsa;قفصة
الرقاب;Sidi Bouzid;سيدي بوزيد
الروحية;Siliana;سليانة
الزارات;Gabes;قابس
الزريبة;Zaghouan;زغوان
الزعفران - دير الكاف;Le Le Kef;الكاف
الزهراء;Ben Arous;بن عروس
الزهور;Kasserine;القصرين
الزهور - القصرين;Kasserine;القصرين
الساحلين - معتمر;Monastir;المنستير
السبيخة;Kairouan;القيروان
السرس;Le Le Kef;الكاف
السلوقية;Beja;باجة
السند;Gafsa;قفصة
السواسي;Mahdia;المهدية
الشابة;Mahdia;المهدية
الشبيكة;Kairouan;القيروان
الشراردة;Kairouan;القيروان
الشرايطية - القصور;Kairouan;القيروان
الشرائع - مشرق الشمس;Kasserine;القصرين
الشريفات - بوشراي;Nabeul;نابل
الصخيرة;Sfax;صفاقس
الصمار;Tataouine;تطاوين
الصمعة;Nabeul;نابل
الطويرف;Le Le Kef;الكاف
العالية;Bizerte;بنزرت
العامرة;Sfax;صفاقس
العروسة;Siliana;سليانة
العشاش بوجربوع العوادنة ماجل الدرج;Sfax;صفاقس
العلا;Kairouan;القيروان
العمايم;Zaghouan;زغوان
العوابد - الخزانات;Sfax;صفاقس
العين;Sfax;صفاقس
العيون;Kasserine;القصرين
الغريبة;Sfax;صفاقس
الفائض بنور;Sidi Bouzid;سيدي بوزيد
الفحص;Zaghouan;زغوان
الفوار;Kebili;قبلي
القريمات - هيشر;Sousse;سوسة
القصر;Gafsa;قفصة
القصرين;Kasserine;القصرين
القصور;Le Le Kef;الكاف
القطار;Gafsa;قفصة
القلعة;Kebili;قبلي
القلعة - المعدن - فرقصان;Jendouba;جندوبة
القلعة الخصباء;Le Le Kef;الكاف
القلعة الصغرى;Sousse;سوسة
القلعة الكبرى;Sousse;سوسة
القيروان;Kairouan;القيروان
الكاف;Le Le Kef;الكاف
الكرم;Tunis;تونس
الكريب;Siliana;سليانة
المتلوي;Gafsa;قفصة
المحرص;Sfax;صفاقس
المحمدية;Ben Arous;بن عروس
المرجى;Le Le Kef;الكاف
المرسى;Tunis;تونس
المرناقية;Manouba;منوبة
المروج;Ben Arous;بن عروس
المسعدين;Sousse;سوسة
المطوية;Gabes;قابس
المظيلة;Gafsa;قفصة
المعقولة;Beja;باجة
المعمورة;Nabeul;نابل
المكناسي;Sidi Bouzid;سيدي بوزيد
المكنين;Monastir;المنستير
المنستير;Monastir;المنستير
المنصورة;Sidi Bouzid;سيدي بوزيد
المنيهلة;Ariana;أريانة
المهدية;Mahdia;المهدية
الميدة;Nabeul;نابل
الناظور;Zaghouan;زغوان
عين الصبح - الناظور;Jendouba;جندوبة
الناظور - سيدي علي بلعابد;Sfax;صفاقس
النصر;Sfax;صفاقس
النفيضة;Sousse;سوسة
النور;Kasserine;القصرين
الهوارية;Nabeul;نابل
الوردانين;Monastir;المنستير
الوسلاتية;Kairouan;القيروان
أم العرائس;Gafsa;قفصة
أوتيك;Bizerte;بنزرت
أولاد حفوز;Sidi Bouzid;سيدي بوزيد
أولاد شامخ;Mahdia;المهدية
باجة;Beja;باجة
باردو;Tunis;تونس
باطن الغزال;Sidi Bouzid;سيدي بوزيد
برج العامري;Manouba;منوبة
برقو;Siliana;سليانة
بشري فطناسة;Kebili;قبلي
بشلي - جرسين - البليدات;Kebili;قبلي
بلخير;Gafsa;قفصة
بلطة بوعوان;Jendouba;جندوبة
بن عروس;Ben Arous;بن عروس
بن قردان;Medenine;مدنين
بنان - بوضر;Monastir;المنستير
بنبلة - المنارة;Monastir;المنستير
بنزرت;Bizerte;بنزرت
بني حسان;Monastir;المنستير
بني خداش;Medenine;مدنين
بني خلاد;Nabeul;نابل
بني خيار;Nabeul;نابل
بني مطير;Jendouba;جندوبة
بهرة;Le Le Kef;الكاف
بوحجر;Monastir;المنستير
بوحجلة;Kairouan;القيروان
بورويس;Siliana;سليانة
بوزقام;Kasserine;القصرين
بوسالم;Jendouba;جندوبة
بوشمة;Gabes;قابس
بوعرادة;Siliana;سليانة
بوعرقوب;Nabeul;نابل
بوغرارة;Medenine;مدنين
بوفيشة;Sousse;سوسة
بومرداس;Mahdia;المهدية
بومهل البساتين;Ben Arous;بن عروس
بئر الأحمر;Tataouine;تطاوين
بئر الحفي;Sidi Bouzid;سيدي بوزيد
بئر علي بن خليفة;Sfax;صفاقس
بئر مشارقة;Zaghouan;زغوان
تاجروين;Le Le Kef;الكاف
تازركة;Nabeul;نابل
تاكلسة;Nabeul;نابل
تالة;Kasserine;القصرين
تبرسق;Beja;باجة
تزغران - زاوية المقايز;Nabeul;نابل
تستور;Beja;باجة
تطاوين;Tataouine;تطاوين
تطاوين الجنوبية;Tataouine;تطاوين
تلابت;Kasserine;القصرين
تلالسة;Mahdia;المهدية
تمغزة;Tozeur;توزر
توزر;Tozeur;توزر
تونس;Tunis;تونس
تيبار;Beja;باجة
تينجة;Bizerte;بنزرت
جبل الوسط;Zaghouan;زغوان
جبنيانة;Sfax;صفاقس
جدليان;Kasserine;القصرين
جرجيس;Medenine;مدنين
جرجيس الشمالية;Medenine;مدنين
جلمة;Sidi Bouzid;سيدي بوزيد
جمال;Monastir;المنستير
جمنة;Kebili;قبلي
جندوبة;Jendouba;جندوبة
جهينة;Kairouan;القيروان
جومين;Bizerte;بنزرت
حاجب العيون;Kairouan;القيروان
حاسي الفريد;Kasserine;القصرين
حامة الجريد;Tozeur;توزر
حزق - اللوزة;Sfax;صفاقس
حزوة;Tozeur;توزر
حفوز;Kairouan;القيروان
حلق الوادي;Tunis;تونس
حمام الأنف;Ben Arous;بن عروس
حمام الشط;Ben Arous;بن عروس
حمام الغزاز;Nabeul;نابل
حمام سوسة;Sousse;سوسة
حومة السوق;Medenine;مدنين
حيدرة;Kasserine;القصرين
خمودة;Kasserine;القصرين
خنيس;Monastir;المنستير
دار شعبان;Nabeul;نابل
دار علوش;Nabeul;نابل
دخيلة توجان;Gabes;قابس
دقاش;Tozeur;توزر
دوار هيشر;Manouba;منوبة
دوز;Kebili;قبلي
رادس;Ben Arous;بن عروس
رأس الجبل;Bizerte;بنزرت
رجيم معتوق;Kebili;قبلي
رحال;Sidi Bouzid;سيدي بوزيد
رفراف;Bizerte;بنزرت
رقادة;Kairouan;القيروان
رمادة;Tataouine;تطاوين
روّاد;Ariana;أريانة
زالبة;Mahdia;المهدية
زانوش;Gafsa;قفصة
زاوية الجديدي;Nabeul;نابل
زاوية سوسة;Sousse;سوسة
زاوية قنطش;Monastir;المنستير
زرمدين;Monastir;المنستير
زغوان;Zaghouan;زغوان
زهرة مدين;Beja;باجة
ساقية الداير;Sfax;صفاقس
ساقية الزيت;Sfax;صفاقس
ساقية سيدي يوسف;Le Le Kef;الكاف
سبالة أولاد عسكر;Sidi Bouzid;سيدي بوزيد
سبيبة;Kasserine;القصرين
سبيطلة;Kasserine;القصرين
سجنان;Bizerte;بنزرت
سعيدة;Sidi Bouzid;سيدي بوزيد
سكرة;Ariana;أريانة
سليانة;Siliana;سليانة
سليمان;Nabeul;نابل
سوسة;Sousse;سوسة
سوق الأحد;Kebili;قبلي
سوق الجديد;Sidi Bouzid;سيدي بوزيد
سوق السبت;Jendouba;جندوبة
سيدي إسماعيل;Beja;باجة
سيدي الجديدي;Nabeul;نابل
سيدي الهاني;Sousse;سوسة
سيدي بنور;Monastir;المنستير
سيدي بوبكر;Gafsa;قفصة
سيدي بوزيد;Sidi Bouzid;سيدي بوزيد
سيدي بوسعيد;Tunis;تونس
سيدي بوعلي;Sousse;سوسة
سيدي ثابت;Ariana;أريانة
سيدي حسين;Tunis;تونس
سيدي زيد - أولاد مولاهم;Mahdia;المهدية
سيدي عامر- مسجد عيسى;Monastir;المنستير
سيدي علوان;Mahdia;المهدية
سيدي علي بن عون;Sidi Bouzid;سيدي بوزيد
سيدي عيش;Gafsa;قفصة
سيدي مخلوف;Medenine;مدنين
سيدي مرشد;Siliana;سليانة
سيسب الدريعات;Kairouan;القيروان
شراحيل;Monastir;المنستير
شربان;Mahdia;المهدية
شط مريم;Sousse;سوسة
