mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;porcentage_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Bekalta;البقالطة;Liste partisane;Afek Tounes;أفاق تونس;33;0,007349666;0;8349;127;55;4490;4672
El Hbabsa;الحبابسة;Liste partisane;Afek Tounes;أفاق تونس;349;0,430864198;5;2680;108;19;810;937
El Hchachna;الحشاشنة;Liste partisane;Afek Tounes;أفاق تونس;65;0,029967727;0;6922;147;68;2169;2384
El Hekaima;الحكايمة;Liste partisane;Afek Tounes;أفاق تونس;263;0,137696335;3;4960;133;40;1910;2083
Rejiche;الرجيش;Liste partisane;Afek Tounes;أفاق تونس;184;0,06351398;1;5454;74;53;2897;3024
Errouhia;الروحية;Liste partisane;Afek Tounes;أفاق تونس;266;0,081246182;2;7749;332;86;3274;3692
Ezzouhour;الزهور;Liste partisane;Afek Tounes;أفاق تونس;117;0,035486806;1;8661;149;53;3297;3499
Somâa;الصمعة;Liste partisane;Afek Tounes;أفاق تونس;48;0,01862631;0;4634;94;45;2577;2716
Kalaa Kebira;القلعة الكبرى;Liste partisane;Afek Tounes;أفاق تونس;2389;0,289330265;9;22671;276;123;8257;8656
El Haouaria;الهوارية;Liste partisane;Afek Tounes;أفاق تونس;238;0,061119671;2;13798;192;101;3894;4187
Bargou;برقو;Liste partisane;Afek Tounes;أفاق تونس;217;0,073039381;1;6758;160;43;2971;3174
Bou Hjar;بوحجر;Liste partisane;Afek Tounes;أفاق تونس;742;0,391350211;5;3396;56;27;1896;1979
Bourouis;بورويس;Liste partisane;Afek Tounes;أفاق تونس;143;0,050655331;1;6659;136;130;2823;3089
Boumerdes;بومرداس;Liste partisane;Afek Tounes;أفاق تونس;616;0,156782896;3;7255;133;52;3929;4114
Thala;تالة;Liste partisane;Afek Tounes;أفاق تونس;650;0,151197953;4;16363;362;102;4299;4763
Zarzis;جرجيس;Liste partisane;Afek Tounes;أفاق تونس;373;0,04476179;1;21168;220;105;8333;8658
Jammel;جمال;Liste partisane;Afek Tounes;أفاق تونس;314;0,035544487;1;22244;194;75;8834;9103
Hammam Sousse;حمام سوسة;Liste partisane;Afek Tounes;أفاق تونس;1958;0,195214357;5;26781;294;179;10030;10503
Dkhilet Toujene;دخيلة توجان;Liste partisane;Afek Tounes;أفاق تونس;162;0,073402809;1;4691;67;45;2207;2319
Douar Hicher;دوار هيشر;Liste partisane;Afek Tounes;أفاق تونس;1105;0,161762553;5;31394;644;172;6831;7469
Ras Jebel;رأس الجبل;Liste partisane;Afek Tounes;أفاق تونس;283;0,057450264;1;15724;232;107;4926;5265
Raoued;روّاد;Liste partisane;Afek Tounes;أفاق تونس;1737;0,139900129;5;43079;305;258;12416;12979
Zaouiet Kontoch;زاوية قنطش;Liste partisane;Afek Tounes;أفاق تونس;263;0,14985755;2;3486;38;22;1755;1815
Sejnane;سجنان;Liste partisane;Afek Tounes;أفاق تونس;697;0,175213675;3;10470;278;85;3978;4341
Sidi Bouali;سيدي بوعلي;Liste partisane;Afek Tounes;أفاق تونس;357;0,077591828;1;9478;159;72;4601;4832
Chorbane;شربان;Liste partisane;Afek Tounes;أفاق تونس;772;0,18071161;4;11395;296;110;4272;4678
Chott Mariem;شط مريم;Liste partisane;Afek Tounes;أفاق تونس;339;0,219417476;3;3376;70;41;1545;1656
Sayada;صيادة;Liste partisane;Afek Tounes;أفاق تونس;273;0,074164629;1;7951;109;57;3681;3847
Touza;طوزة;Liste partisane;Afek Tounes;أفاق تونس;48;0,023892484;0;4059;27;9;2009;2045
Amiret Touazra;عميرة التوازرة;Liste partisane;Afek Tounes;أفاق تونس;201;0,118794326;1;3144;39;57;1692;1788
Ain Jelloula;عين جلولة;Liste partisane;Afek Tounes;أفاق تونس;174;0,119015048;1;3894;89;38;1462;1589
Ghar El Melh;غار الملح;Liste partisane;Afek Tounes;أفاق تونس;405;0,244712991;3;4539;57;57;1655;1769
Ghezala;غزالة;Liste partisane;Afek Tounes;أفاق تونس;384;0,196018377;5;10562;237;64;1959;2260
Ghenada;غنادة;Liste partisane;Afek Tounes;أفاق تونس;156;0,084006462;1;2720;72;28;1857;1957
Korba;قربة;Liste partisane;Afek Tounes;أفاق تونس;553;0,060010852;2;24931;303;163;9215;9681
Ksour Essaf;قصور الساف;Liste partisane;Afek Tounes;أفاق تونس;871;0,148939808;4;15764;91;93;5848;6032
Gaafour;قعفور;Liste partisane;Afek Tounes;أفاق تونس;247;0,084386744;1;8989;205;74;2927;3206
Kalâat El Andalous;قلعة الأندلس;Liste partisane;Afek Tounes;أفاق تونس;212;0,042046807;1;11075;143;65;5042;5250
Kelibia;قليبية;Liste partisane;Afek Tounes;أفاق تونس;195;0,020431685;0;24622;231;120;9544;9895
Kerker;كركر;Liste partisane;Afek Tounes;أفاق تونس;180;0,052724077;1;7198;106;54;3414;3574
Kesra;كسرى;Liste partisane;Afek Tounes;أفاق تونس;98;0,040445728;1;7794;207;72;2423;2702
Nefta;نفطة;Liste partisane;Afek Tounes;أفاق تونس;118;0,022696672;0;15608;143;78;5199;5420
Hebira;هبيرة;Liste partisane;Afek Tounes;أفاق تونس;321;0,166839917;3;5037;195;64;1924;2183
El Hchachna;الحشاشنة;Liste partisane;Ajyal;الاجیال;286;0,131857999;3;6922;147;68;2169;2384
