mun_fr;mun_ar;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;porcentage_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Agareb;عقارب;عقارب;Liste indépendante;Altaqadum;التقدم;1680;0,225685116;6;20009;298;152;7444;7894
Agareb;عقارب;عقارب;Liste partisane;Nidaa Tounes;حركة نداء تونس;2899;0,389441161;9;20009;298;152;7444;7894
Agareb;عقارب;عقارب;Liste partisane;Ennahdha;حزب حركة النھضة;2160;0,290166577;7;20009;298;152;7444;7894
Agareb;عقارب;عقارب;Liste indépendante;Machrouana;مشروعنا;705;0,094707147;2;20009;298;152;7444;7894
Ain Draham;عین دراھم;عين دراهم;Liste de coalition;Front Populaire;الجبھة الشعبیة;793;0,252547771;5;13439;284;110;3140;3534
Ain Draham;عین دراھم;عين دراهم;Liste partisane;Nidaa Tounes;حركة نداء تونس;1221;0,388853503;7;13439;284;110;3140;3534
Ain Draham;عین دراھم;عين دراهم;Liste partisane;Ennahdha;حزب حركة النھضة;1126;0,358598726;6;13439;284;110;3140;3534
Ain El Khemaissia;عین الخمایسیة;عين الخمايسية;Liste indépendante;Alrihan Albaladii;الرھان البلدي;184;0,071152359;1;6610;115;67;2586;2768
Ain El Khemaissia;عین الخمایسیة;عين الخمايسية;Liste indépendante;Alwifaq Altanmaoiu;الوفاق التنموي;517;0,19992266;4;6610;115;67;2586;2768
Ain El Khemaissia;عین الخمایسیة;عين الخمايسية;Liste partisane;Nidaa Tounes;حركة نداء تونس;1352;0,522815159;9;6610;115;67;2586;2768
Ain El Khemaissia;عین الخمایسیة;عين الخمايسية;Liste partisane;Ennahdha;حزب حركة النھضة;102;0,039443155;1;6610;115;67;2586;2768
Ain El Khemaissia;عین الخمایسیة;عين الخمايسية;Liste indépendante;Nebnou Maa Baadhna;نبنو مع بعضنا;431;0,166666667;3;6610;115;67;2586;2768
Ain Essobh Nadhour;عین الصبح الناظور;عين الصبح - الناظور;Liste indépendante;Al'Iiqlaa;الاقلاع;927;0,316706525;6;8679;211;107;2927;3245
Ain Essobh Nadhour;عین الصبح الناظور;عين الصبح - الناظور;Liste indépendante;Albina W Altaasys;البناء و التأسیس;671;0,229244961;4;8679;211;107;2927;3245
Ain Essobh Nadhour;عین الصبح الناظور;عين الصبح - الناظور;Liste de coalition;Front Populaire;الجبھة الشعبیة;137;0,046805603;1;8679;211;107;2927;3245
Ain Essobh Nadhour;عین الصبح الناظور;عين الصبح - الناظور;Liste indépendante;Alnajat;النجاة;454;0,155107619;3;8679;211;107;2927;3245
Ain Essobh Nadhour;عین الصبح الناظور;عين الصبح - الناظور;Liste partisane;AL IRADA;حراك تونس الارادة;208;0,071062521;1;8679;211;107;2927;3245
Ain Essobh Nadhour;عین الصبح الناظور;عين الصبح - الناظور;Liste partisane;Nidaa Tounes;حركة نداء تونس;166;0,056713358;1;8679;211;107;2927;3245
Ain Essobh Nadhour;عین الصبح الناظور;عين الصبح - الناظور;Liste partisane;Ennahdha;حزب حركة النھضة;364;0,124359412;2;8679;211;107;2927;3245
Bahra;بھرة;بهرة;Liste indépendante;Al'Iirada;الارادة;337;0,31822474;4;2799;115;24;1059;1198
Bahra;بھرة;بهرة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;40;0,037771483;0;2799;115;24;1059;1198
Bahra;بھرة;بهرة;Liste partisane;Nidaa Tounes;حركة نداء تونس;416;0,392823418;5;2799;115;24;1059;1198
Bahra;بھرة;بهرة;Liste partisane;Ennahdha;حزب حركة النھضة;266;0,251180359;3;2799;115;24;1059;1198
Balta Bouawene;بلطة بوعوان;بلطة بوعوان;Liste de coalition;Front Populaire;الجبھة الشعبیة;184;0,067030965;2;12523;225;101;2745;3071
Balta Bouawene;بلطة بوعوان;بلطة بوعوان;Liste partisane;Nidaa Tounes;حركة نداء تونس;1363;0,496539162;12;12523;225;101;2745;3071
Balta Bouawene;بلطة بوعوان;بلطة بوعوان;Liste partisane;Ennahdha;حزب حركة النھضة;963;0,350819672;8;12523;225;101;2745;3071
Balta Bouawene;بلطة بوعوان;بلطة بوعوان;Liste indépendante;Qayimat 'Amal ...Nahwa Ghad 'Afdhal;قائمة أمل ...نحو غد أفضل;235;0,0856102;2;12523;225;101;2745;3071
Bargou;برقو;برقو;Liste partisane;Afek Tounes;أفاق تونس;217;0,073039381;1;6758;160;43;2971;3174
Bargou;برقو;برقو;Liste indépendante;Bargou Altanmiya;برقو التنمیة;206;0,069336924;1;6758;160;43;2971;3174
Bargou;برقو;برقو;Liste indépendante;Bargou Tajamaena;برقو تجمعنا;1437;0,48367553;9;6758;160;43;2971;3174
Bargou;برقو;برقو;Liste indépendante;Tharwat Bargou Fi Falahatha;ثروة برقو في فلاحتھا;553;0,186132615;3;6758;160;43;2971;3174
Bargou;برقو;برقو;Liste partisane;Nidaa Tounes;حركة نداء تونس;145;0,048805116;1;6758;160;43;2971;3174
Bargou;برقو;برقو;Liste partisane;Ennahdha;حزب حركة النھضة;413;0,139010434;3;6758;160;43;2971;3174
Bchelli;بشلي جرسین البلیدات;بشلي - جرسين - البليدات;Liste de coalition;Union Civile;الإتحاد المدني;459;0,142679515;2;7042;79;44;3217;3340
Bchelli;بشلي جرسین البلیدات;بشلي - جرسين - البليدات;Liste indépendante;Al'Amal;الأمل;639;0,198632266;4;7042;79;44;3217;3340
Bchelli;بشلي جرسین البلیدات;بشلي - جرسين - البليدات;Liste indépendante;Alayadi Albydaa;الأیادي البیضاء;395;0,122785204;2;7042;79;44;3217;3340
Bchelli;بشلي جرسین البلیدات;بشلي - جرسين - البليدات;Liste partisane;Nidaa Tounes;حركة نداء تونس;158;0,049114081;1;7042;79;44;3217;3340
Bchelli;بشلي جرسین البلیدات;بشلي - جرسين - البليدات;Liste partisane;Ennahdha;حزب حركة النھضة;1566;0,486788934;9;7042;79;44;3217;3340
Béchri Fatnassa;بشري فطناسة;بشري فطناسة;Liste indépendante;Albina;البناء;556;0,253765404;3;5902;121;65;2191;2377
Béchri Fatnassa;بشري فطناسة;بشري فطناسة;Liste partisane;Nidaa Tounes;حركة نداء تونس;471;0,214970333;3;5902;121;65;2191;2377
Béchri Fatnassa;بشري فطناسة;بشري فطناسة;Liste partisane;Mouvement Du Peuple;حزب حركة الشعب;506;0,230944774;3;5902;121;65;2191;2377
Béchri Fatnassa;بشري فطناسة;بشري فطناسة;Liste partisane;Ennahdha;حزب حركة النھضة;464;0,211775445;2;5902;121;65;2191;2377
Béchri Fatnassa;بشري فطناسة;بشري فطناسة;Liste indépendante;Shabab Tawrgha;شباب تاورغة;194;0,088544044;1;5902;121;65;2191;2377
Beja;باجة;باجة;Liste de coalition;Union Civile;الاتحاد المدني;274;0,026122605;0;41646;586;314;10489;11389
Beja;باجة;باجة;Liste indépendante;Al'Anwar;الأنوار;712;0,067880637;2;41646;586;314;10489;11389
Beja;باجة;باجة;Liste de coalition;Front Populaire;الجبھة الشعبیة;1006;0,095910001;3;41646;586;314;10489;11389
Beja;باجة;باجة;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;1903;0,181428163;6;41646;586;314;10489;11389
Beja;باجة;باجة;Liste indépendante;Alghazala;الغزالة;318;0,030317475;1;41646;586;314;10489;11389
Beja;باجة;باجة;Liste partisane;Beni Watani;بني وطني;263;0,025073887;0;41646;586;314;10489;11389
Beja;باجة;باجة;Liste partisane;Mouvement Du Peuple;حركة الشعب;493;0,047001621;2;41646;586;314;10489;11389
Beja;باجة;باجة;Liste partisane;Nidaa Tounes;حركة نداء تونس;2035;0,194012775;6;41646;586;314;10489;11389
Beja;باجة;باجة;Liste partisane;Courant Démocrate;حزب التیار الدیمقراطي;670;0,063876442;2;41646;586;314;10489;11389
Beja;باجة;باجة;Liste partisane;Ennahdha;حزب حركة النھضة;2815;0,268376394;8;41646;586;314;10489;11389
Belkhir;بلخیر;بلخير;Liste indépendante;Alshabab Imad Albilad;الشباب عماد البلاد;256;0,106889353;2;7800;110;46;2395;2551
