mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
El Hamma;الحامة;Liste partisane;AL IRADA;حراك تونس الارادة;908;4;23036;320;127;6631;7078
Habib Thameur;الحبيب ثامر - بوعطوش;Liste partisane;AL IRADA;حراك تونس الارادة;896;4;14238;219;80;4027;4326
Smar;الصمار;Liste partisane;AL IRADA;حراك تونس الارادة;270;2;5927;80;36;2314;2430
El Faouar;الفوار;Liste partisane;AL IRADA;حراك تونس الارادة;532;2;9566;215;75;5168;5458
El Golaa;القلعة;Liste partisane;AL IRADA;حراك تونس الارادة;842;4;5005;57;41;2822;2920
Kairouan;القيروان;Liste partisane;AL IRADA;حراك تونس الارادة;1348;3;71387;636;310;18800;19746
Metlaoui;المتلوي;Liste partisane;AL IRADA;حراك تونس الارادة;297;1;21966;260;103;9721;10084
Meknassy;المكناسي;Liste partisane;AL IRADA;حراك تونس الارادة;152;1;14929;217;78;5000;5295
Monastir;المنستير;Liste partisane;AL IRADA;حراك تونس الارادة;318;0;46430;384;209;17457;18050
El Mansoura;المنصورة;Liste partisane;AL IRADA;حراك تونس الارادة;272;3;4392;59;21;1265;1345
Moulares;أم العرائس;Liste partisane;AL IRADA;حراك تونس الارادة;617;2;16004;256;102;6753;7111
Baten Elghezel;باطن الغزال;Liste partisane;AL IRADA;حراك تونس الارادة;135;1;7016;127;63;2476;2666
Ben Guerdane;بن قردان;Liste partisane;AL IRADA;حراك تونس الارادة;594;2;32112;311;152;12290;12753
Beni Khedech;بني خداش;Liste partisane;AL IRADA;حراك تونس الارادة;589;3;14709;186;97;4446;4729
Bouchemma;بوشمة;Liste partisane;AL IRADA;حراك تونس الارادة;452;4;6133;80;44;2313;2437
Bir El Hafey;بئر الحفي;Liste partisane;AL IRADA;حراك تونس الارادة;75;0;15326;147;64;4418;4629
Tataouine;تطاوين;Liste partisane;AL IRADA;حراك تونس الارادة;825;3;37780;211;153;8800;9164
Tataouine Sud;تطاوين الجنوبية;Liste partisane;AL IRADA;حراك تونس الارادة;143;1;3997;52;18;1266;1336
Tozeur;توزر;Liste partisane;AL IRADA;حراك تونس الارادة;254;1;27942;279;167;8453;8899
Tunis;تونس;Liste partisane;AL IRADA;حراك تونس الارادة;1615;0;328134;2831;2058;79569;84458
Jilma;جلمة;Liste partisane;AL IRADA;حراك تونس الارادة;154;1;13383;204;111;5093;5408
Houmt Souk;حومة السوق;Liste partisane;AL IRADA;حراك تونس الارادة;773;2;33306;260;166;12742;13168
Khenis;خنيس;Liste partisane;AL IRADA;حراك تونس الارادة;162;1;5642;60;37;2435;2532
Douz;دوز;Liste partisane;AL IRADA;حراك تونس الارادة;1445;5;22819;226;132;7259;7617
Ras Jebel;رأس الجبل;Liste partisane;AL IRADA;حراك تونس الارادة;829;4;15724;232;107;4926;5265
Zeramdine;زرمدين;Liste partisane;AL IRADA;حراك تونس الارادة;485;2;7449;121;48;3574;3743
Sakiet Eddaeir;ساقية الداير;Liste partisane;AL IRADA;حراك تونس الارادة;509;1;23195;225;147;9146;9518
Sakiet Ezzit;ساقية الزيت;Liste partisane;AL IRADA;حراك تونس الارادة;608;1;32535;220;193;13442;13855
Sidi Bouzid;سيدي بوزيد;Liste partisane;AL IRADA;حراك تونس الارادة;198;0;41689;295;132;9987;10414
Sidi Ali Ben Aoun;سيدي علي بن عون;Liste partisane;AL IRADA;حراك تونس الارادة;248;2;8821;125;40;2308;2473
Sfax;صفاقس;Liste partisane;AL IRADA;حراك تونس الارادة;957;0;148647;1007;784;45446;47237
Sayada;صيادة;Liste partisane;AL IRADA;حراك تونس الارادة;342;2;7951;109;57;3681;3847
Ain Essobh Nadhour;عين الصبح - الناظور;Liste partisane;AL IRADA;حراك تونس الارادة;208;1;8679;211;107;2927;3245
Ghardimaou;غار الدماء;Liste partisane;AL IRADA;حراك تونس الارادة;188;1;20171;289;174;5869;6332
Ghannouch;غنوش;Liste partisane;AL IRADA;حراك تونس الارادة;353;2;12675;124;60;3468;3652
Feriana;فريانة;Liste partisane;AL IRADA;حراك تونس الارادة;472;2;16744;246;105;5405;5756
Gabes;قابس;Liste partisane;AL IRADA;حراك تونس الارادة;466;1;51010;261;251;14461;14973
Goubellat;قبلاط;Liste partisane;AL IRADA;حراك تونس الارادة;120;2;5579;67;72;1293;1432
Kebili;قبلي;Liste partisane;AL IRADA;حراك تونس الارادة;328;1;23887;231;175;6773;7179
Gafsa;قفصة;Liste partisane;AL IRADA;حراك تونس الارادة;164;0;54251;469;185;14805;15459
Mareth;مارث;Liste partisane;AL IRADA;حراك تونس الارادة;214;1;14699;185;106;4650;4941
Mednine;مدنين;Liste partisane;AL IRADA;حراك تونس الارادة;941;2;47023;382;238;15089;15709
Mezzouna;مزونة;Liste partisane;AL IRADA;حراك تونس الارادة;564;1;12420;185;88;7206;7479
Midoun;ميدون;Liste partisane;AL IRADA;حراك تونس الارادة;1050;4;24777;178;113;8544;8835
Nefta;نفطة;Liste partisane;AL IRADA;حراك تونس الارادة;624;2;15608;143;78;5199;5420
Korba;قربة;Liste partisane;AL IRADA;حراك تونس الارادة;462;2;24931;303;163;9215;9681
