mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
El Ahouaz Lassouda;لسودة;Liste partisane;Mouvement Du Peuple;حركة الشعب;188;2;8595;77;44;2236;2357
El Battane;البطان;Liste partisane;Mouvement Du Peuple;حركة الشعب;458;4;8969;145;101;1972;2218
Cité Ettadhamen;التضامن;Liste partisane;Mouvement Du Peuple;حركة الشعب;361;2;35966;402;218;6640;7260
Redeyef;الرديف;Liste partisane;Mouvement Du Peuple;حركة الشعب;407;2;13028;172;88;5561;5821
Errouhia;الروحية;Liste partisane;Mouvement Du Peuple;حركة الشعب;341;2;7749;332;86;3274;3692
Sbikha;السبيخة;Liste partisane;Mouvement Du Peuple;حركة الشعب;322;1;17576;359;83;6138;6580
Esslouguia;السلوقية;Liste partisane;Mouvement Du Peuple;حركة الشعب;562;5;3172;30;31;1351;1412
El Aouabed El Khazanet;العوابد - الخزانات;Liste partisane;Mouvement Du Peuple;حركة الشعب;240;1;12781;131;91;4545;4767
El Ain;العين;Liste partisane;Mouvement Du Peuple;حركة الشعب;549;1;28468;247;196;10577;11020
El Ksar;القصر;Liste partisane;Mouvement Du Peuple;حركة الشعب;431;2;12791;192;70;4600;4862
El Guetar;القطار;Liste partisane;Mouvement Du Peuple;حركة الشعب;298;1;10813;200;60;4184;4444
Meknassy;المكناسي;Liste partisane;Mouvement Du Peuple;حركة الشعب;813;3;14929;217;78;5000;5295
Monastir;المنستير;Liste partisane;Mouvement Du Peuple;حركة الشعب;179;0;46430;384;209;17457;18050
Ennadhour Sidi Ali Belabed;الناظور - سيدي علي بلعابد;Liste partisane;Mouvement Du Peuple;حركة الشعب;357;2;8968;90;56;3105;3251
Beja;باجة;Liste partisane;Mouvement Du Peuple;حركة الشعب;493;2;41646;586;314;10489;11389
Borj El Amri;برج العامري;Liste partisane;Mouvement Du Peuple;حركة الشعب;152;1;9449;180;56;2636;2872
Bennour;الفائض بنور;Liste partisane;Mouvement Du Peuple;حركة الشعب;365;2;11866;149;61;2748;2958
Bir El Hafey;بئر الحفي;Liste partisane;Mouvement Du Peuple;حركة الشعب;669;4;15326;147;64;4418;4629
Jendouba;جندوبة;Liste partisane;Mouvement Du Peuple;حركة الشعب;1331;5;49945;579;303;10156;11038
Houmt Souk;حومة السوق;Liste partisane;Mouvement Du Peuple;حركة الشعب;485;1;33306;260;166;12742;13168
Degach;دقاش;Liste partisane;Mouvement Du Peuple;حركة الشعب;724;3;12823;157;88;4156;4401
Sidi Bouzid;سيدي بوزيد;Liste partisane;Mouvement Du Peuple;حركة الشعب;666;2;41689;295;132;9987;10414
Sfax;صفاقس;Liste partisane;Mouvement Du Peuple;حركة الشعب;732;0;148647;1007;784;45446;47237
Tebourba;طبربة;Liste partisane;Mouvement Du Peuple;حركة الشعب;1117;5;21275;365;142;5521;6028
Tabarka;طبرقة;Liste partisane;Mouvement Du Peuple;حركة الشعب;344;2;17075;312;74;4792;5178
Gafsa;قفصة;Liste partisane;Mouvement Du Peuple;حركة الشعب;350;0;54251;469;185;14805;15459
Mareth;مارث;Liste partisane;Mouvement Du Peuple;حركة الشعب;1169;6;14699;185;106;4650;4941
Mednine;مدنين;Liste partisane;Mouvement Du Peuple;حركة الشعب;735;2;47023;382;238;15089;15709
Manouba;منوبة;Liste partisane;Mouvement Du Peuple;حركة الشعب;233;1;22044;156;136;7087;7379
Midoun;ميدون;Liste partisane;Mouvement Du Peuple;حركة الشعب;619;2;24777;178;113;8544;8835
Nefza;نفزة;Liste partisane;Mouvement Du Peuple;حركة الشعب;771;3;15663;428;153;5816;6397
Oued Ellil;وادي الليل;Liste partisane;Mouvement Du Peuple;حركة الشعب;212;0;30108;424;163;8404;8991
Ouechtata;وشتاتة - الجميلة;Liste partisane;Mouvement Du Peuple;حركة الشعب;935;4;11702;328;70;3789;4178
El Faouar;الفوار;Liste partisane;Mouvement Du Peuple;حركة الشعب;986;3;9566;215;75;5168;5458
El Ksour;القصور;Liste partisane;Mouvement Du Peuple;حركة الشعب;306;2;7777;165;75;2561;2801
Béchri Fatnassa;بشري فطناسة;Liste partisane;Mouvement Du Peuple;حركة الشعب;506;3;5902;121;65;2191;2377
Douz;دوز;Liste partisane;Mouvement Du Peuple;حركة الشعب;1980;7;22819;226;132;7259;7617
Rejim Mâatoug;رجيم معتوق;Liste partisane;Mouvement Du Peuple;حركة الشعب;83;1;1958;26;25;1190;1241
Souk El Ahed;سوق الأحد;Liste partisane;Mouvement Du Peuple;حركة الشعب;1627;8;12666;158;93;3515;3766
Kebili;قبلي;Liste partisane;Mouvement Du Peuple;حركة الشعب;862;3;23887;231;175;6773;7179
