mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Akouda;أكودة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;431;2;12703;136;87;5408;5631
Bekalta;البقالطة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;117;0;8349;127;55;4490;4672
El Hajeb;الحاجب;Liste partisane;Machrouu Tounes;حركة مشروع تونس;152;1;7521;85;43;2326;2454
Hammamet;الحمامات;Liste partisane;Machrouu Tounes;حركة مشروع تونس;2017;4;43262;408;229;14571;15208
El Hencha;الحنشة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;417;2;16205;223;73;4547;4843
Den - Den;الدندان;Liste partisane;Machrouu Tounes;حركة مشروع تونس;714;4;16450;188;139;4392;4719
Dhehiba;الذهيبة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;196;3;2137;36;10;756;802
Redeyef;الرديف;Liste partisane;Machrouu Tounes;حركة مشروع تونس;204;1;13028;172;88;5561;5821
Errouhia;الروحية;Liste partisane;Machrouu Tounes;حركة مشروع تونس;236;1;7749;332;86;3274;3692
Ezzahra;الزهراء;Liste partisane;Machrouu Tounes;حركة مشروع تونس;341;1;20136;259;136;7845;8240
Chebba;الشابة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;185;0;16689;231;115;7728;8074
Chebika;الشبيكة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;570;3;8827;269;68;3887;4224
El Aroussa;العروسة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;60;0;4777;76;32;1980;2088
El Alaa;العلا;Liste partisane;Machrouu Tounes;حركة مشروع تونس;954;5;12298;387;97;4161;4645
El Aouabed El Khazanet;العوابد - الخزانات;Liste partisane;Machrouu Tounes;حركة مشروع تونس;175;1;12781;131;91;4545;4767
El Ksour;القصور;Liste partisane;Machrouu Tounes;حركة مشروع تونس;369;3;7777;165;75;2561;2801
La Mornaguia;المرناقية;Liste partisane;Machrouu Tounes;حركة مشروع تونس;190;1;14449;215;93;4643;4951
El Metouia;المطوية;Liste partisane;Machrouu Tounes;حركة مشروع تونس;452;2;7459;117;40;3835;3992
El Maagoula;المعقولة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;148;1;6848;158;79;1890;2127
Enfidha;النفيضة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;230;1;15065;375;140;6939;7454
Ennour;النور;Liste partisane;Machrouu Tounes;حركة مشروع تونس;344;1;22947;282;119;5977;6378
Utique;أوتيك;Liste partisane;Machrouu Tounes;حركة مشروع تونس;227;2;7489;143;79;2930;3152
Le Bardo;باردو;Liste partisane;Machrouu Tounes;حركة مشروع تونس;774;2;44901;329;209;13084;13622
Belkhir;بلخير;Liste partisane;Machrouu Tounes;حركة مشروع تونس;179;1;7800;110;46;2395;2551
Beni Hassen;بني حسان;Liste partisane;Machrouu Tounes;حركة مشروع تونس;302;1;5127;101;33;2928;3062
Bahra;بهرة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;40;0;2799;115;24;1059;1198
Testour;تستور;Liste partisane;Machrouu Tounes;حركة مشروع تونس;165;1;13521;220;127;4698;5045
Djedeliane;جدليان;Liste partisane;Machrouu Tounes;حركة مشروع تونس;194;1;6741;221;48;3276;3545
Jammel;جمال;Liste partisane;Machrouu Tounes;حركة مشروع تونس;273;1;22244;194;75;8834;9103
Jendouba;جندوبة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;351;1;49945;579;303;10156;11038
Joumine;جومين;Liste partisane;Machrouu Tounes;حركة مشروع تونس;89;0;11736;416;130;4587;5133
Hamet Ejrid;حامة الجريد;Liste partisane;Machrouu Tounes;حركة مشروع تونس;328;2;4932;103;47;1579;1729
Hammam Sousse;حمام سوسة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;677;2;26781;294;179;10030;10503
Dar Allouch;دار علوش;Liste partisane;Machrouu Tounes;حركة مشروع تونس;298;1;3759;83;20;2459;2562
Degach;دقاش;Liste partisane;Machrouu Tounes;حركة مشروع تونس;204;1;12823;157;88;4156;4401
Ras Jebel;رأس الجبل;Liste partisane;Machrouu Tounes;حركة مشروع تونس;503;3;15724;232;107;4926;5265
Rahal;رحال;Liste partisane;Machrouu Tounes;حركة مشروع تونس;158;1;4571;56;63;2201;2320
Rakada;رقادة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;656;4;8489;153;60;2846;3059
Remada;رمادة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;86;1;4292;63;27;1254;1344
Raoued;روّاد;Liste partisane;Machrouu Tounes;حركة مشروع تونس;878;3;43079;305;258;12416;12979
Zeramdine;زرمدين;Liste partisane;Machrouu Tounes;حركة مشروع تونس;778;4;7449;121;48;3574;3743
Zahret Medien;زهرة مدين;Liste partisane;Machrouu Tounes;حركة مشروع تونس;387;2;9975;258;64;2946;3268
Sbeitla;سبيطلة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;587;2;18341;351;151;7279;7781
Soliman;سليمان;Liste partisane;Machrouu Tounes;حركة مشروع تونس;647;2;18888;272;136;9045;9453
Souk Essebt;سوق السبت;Liste partisane;Machrouu Tounes;حركة مشروع تونس;634;8;5202;98;39;1526;1663
Sidi Jadidi;سيدي الجديدي;Liste partisane;Machrouu Tounes;حركة مشروع تونس;179;2;5483;86;54;1896;2036
Sidi Bouali;سيدي بوعلي;Liste partisane;Machrouu Tounes;حركة مشروع تونس;172;1;9478;159;72;4601;4832
Sidi Hassine;سيدي حسين;Liste partisane;Machrouu Tounes;حركة مشروع تونس;313;1;38119;392;296;8484;9172
Chaouachi;شواشي;Liste partisane;Machrouu Tounes;حركة مشروع تونس;582;5;5833;197;51;2034;2282
Chihia;شيحية;Liste partisane;Machrouu Tounes;حركة مشروع تونس;610;2;20091;184;115;7718;8017
Teboulba;طبلبة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;195;0;17748;170;79;7636;7885
Tina;طينة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;253;1;17393;216;111;5317;5644
Amiret Touazra;عميرة التوازرة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;105;1;3144;39;57;1692;1788
Ghezala;غزالة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;400;5;10562;237;64;1959;2260
Foussana;فوسانة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;712;3;16494;329;101;6872;7302
Fouchana;فوشانة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;277;0;20443;297;142;6869;7308
Goubellat;قبلاط;Liste partisane;Machrouu Tounes;حركة مشروع تونس;220;3;5579;67;72;1293;1432
Korba;قربة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;1068;4;24931;303;163;9215;9681
Ksar Hellal;قصر هلال;Liste partisane;Machrouu Tounes;حركة مشروع تونس;280;0;26671;289;136;11147;11572
Kalaat Senan;قلعة سنان;Liste partisane;Machrouu Tounes;حركة مشروع تونس;368;3;7435;220;58;2747;3025
Kelibia;قليبية;Liste partisane;Machrouu Tounes;حركة مشروع تونس;255;0;24622;231;120;9544;9895
Kondar;كندار;Liste partisane;Machrouu Tounes;حركة مشروع تونس;235;1;5973;237;67;3739;4043
Lala;لالة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;146;1;6793;81;44;2298;2423
Mateur;ماطر;Liste partisane;Machrouu Tounes;حركة مشروع تونس;454;2;19888;325;149;4844;5318
Medjez El Bab;مجاز الباب;Liste partisane;Machrouu Tounes;حركة مشروع تونس;378;1;18118;227;97;6024;6348
Mornag;مرناق;Liste partisane;Machrouu Tounes;حركة مشروع تونس;375;2;19795;311;154;6232;6697
Mezzouna;مزونة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;76;0;12420;185;88;7206;7479
Menzel Bouzelfa;منزل بوزلفة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;397;2;21036;244;154;6337;6735
Nebeur;نبر;Liste partisane;Machrouu Tounes;حركة مشروع تونس;47;0;6889;152;82;2739;2973
