mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Ajim;اجيم;Liste partisane;Ennahdha;حزب حركة النھضة;2314;11;10177;162;80;3683;3925
Ariana;أريانة;Liste partisane;Ennahdha;حزب حركة النھضة;4109;6;76783;456;335;29372;30163
Azmour;أزمور;Liste partisane;Ennahdha;حزب حركة النھضة;558;8;3822;47;40;1540;1627
Akouda;أكودة;Liste partisane;Ennahdha;حزب حركة النھضة;806;3;12703;136;87;5408;5631
El Ahouaz Lassouda;لسودة;Liste partisane;Ennahdha;حزب حركة النھضة;664;5;8595;77;44;2236;2357
El Bradaa;البرادعة;Liste partisane;Ennahdha;حزب حركة النھضة;457;3;6872;194;72;2993;3259
El Bassatine;البساتين;Liste partisane;Ennahdha;حزب حركة النھضة;947;8;5549;144;78;2021;2243
El Battane;البطان;Liste partisane;Ennahdha;حزب حركة النھضة;791;7;8969;145;101;1972;2218
Bekalta;البقالطة;Liste partisane;Ennahdha;حزب حركة النھضة;511;2;8349;127;55;4490;4672
Cité Ettadhamen;التضامن;Liste partisane;Ennahdha;حزب حركة النھضة;3651;16;35966;402;218;6640;7260
Djedaïda;الجديدة;Liste partisane;Ennahdha;حزب حركة النھضة;2065;7;20932;303;157;6565;7025
DJerissa;الجريصة;Liste partisane;Ennahdha;حزب حركة النھضة;392;3;5938;170;82;1886;2138
El Djem;الجم;Liste partisane;Ennahdha;حزب حركة النھضة;1718;9;11693;164;120;4738;5022
Jouaouda;الجواودة;Liste partisane;Ennahdha;حزب حركة النھضة;685;8;5476;109;60;1517;1686
El Hajeb;الحاجب;Liste partisane;Ennahdha;حزب حركة النھضة;797;6;7521;85;43;2326;2454
El Hamma;الحامة;Liste partisane;Ennahdha;حزب حركة النھضة;3094;14;23036;320;127;6631;7078
El Hbabsa;الحبابسة;Liste partisane;Ennahdha;حزب حركة النھضة;201;3;2680;108;19;810;937
Habib Thameur;الحبيب ثامر - بوعطوش;Liste partisane;Ennahdha;حزب حركة النھضة;2216;10;14238;219;80;4027;4326
El Hchachna;الحشاشنة;Liste partisane;Ennahdha;حزب حركة النھضة;588;5;6922;147;68;2169;2384
El Hekaima;الحكايمة;Liste partisane;Ennahdha;حزب حركة النھضة;577;5;4960;133;40;1910;2083
Hammamet;الحمامات;Liste partisane;Ennahdha;حزب حركة النھضة;2995;6;43262;408;229;14571;15208
El Hencha;الحنشة;Liste partisane;Ennahdha;حزب حركة النھضة;1449;8;16205;223;73;4547;4843
Khelidia;الخليدية;Liste partisane;Ennahdha;حزب حركة النھضة;944;6;7617;160;92;2870;3122
Khmeyria;الخمايرية;Liste partisane;Ennahdha;حزب حركة النھضة;539;5;7137;203;52;1988;2243
Den - Den;الدندان;Liste partisane;Ennahdha;حزب حركة النھضة;1769;10;16450;188;139;4392;4719
Dahmani;الدهماني;Liste partisane;Ennahdha;حزب حركة النھضة;1354;8;11900;336;124;4138;4598
Dhehiba;الذهيبة;Liste partisane;Ennahdha;حزب حركة النھضة;263;4;2137;36;10;756;802
Rejiche;الرجيش;Liste partisane;Ennahdha;حزب حركة النھضة;441;3;5454;74;53;2897;3024
Errakhmet;الرخمات;Liste partisane;Ennahdha;حزب حركة النھضة;826;7;6322;99;26;2262;2387
Redeyef;الرديف;Liste partisane;Ennahdha;حزب حركة النھضة;1173;5;13028;172;88;5561;5821
Regueb;الرقاب;Liste partisane;Ennahdha;حزب حركة النھضة;3178;9;24066;210;105;8204;8519
Errouhia;الروحية;Liste partisane;Ennahdha;حزب حركة النھضة;266;2;7749;332;86;3274;3692
Ezzarat;الزارات;Liste partisane;Ennahdha;حزب حركة النھضة;654;4;5220;67;68;2168;2303
Ezzriba;الزريبة;Liste partisane;Ennahdha;حزب حركة النھضة;1274;4;12590;268;112;5355;5735
Zaafrane;الزعفران - دير الكاف;Liste partisane;Ennahdha;حزب حركة النھضة;349;5;5767;133;46;1341;1520
Ezzahra;الزهراء;Liste partisane;Ennahdha;حزب حركة النھضة;1446;5;20136;259;136;7845;8240
Ezzouhour;الزهور;Liste partisane;Ennahdha;حزب حركة النھضة;598;3;8661;149;53;3297;3499
Ezzouhour - Kasserine;الزهور - القصرين;Liste partisane;Ennahdha;حزب حركة النھضة;1018;4;14131;231;71;4600;4902
Sahline Môotmar;الساحلين - معتمر;Liste partisane;Ennahdha;حزب حركة النھضة;1502;6;9833;212;85;4282;4579
Sbikha;السبيخة;Liste partisane;Ennahdha;حزب حركة النھضة;1369;5;17576;359;83;6138;6580
Sers;السرس;Liste partisane;Ennahdha;حزب حركة النھضة;674;4;9432;291;70;2912;3273
Esslouguia;السلوقية;Liste partisane;Ennahdha;حزب حركة النھضة;358;3;3172;30;31;1351;1412
Sned;السند;Liste partisane;Ennahdha;حزب حركة النھضة;1077;4;10501;135;82;4450;4667
Essouassi;السواسي;Liste partisane;Ennahdha;حزب حركة النھضة;2303;10;11967;193;113;5935;6241
Chebba;الشابة;Liste partisane;Ennahdha;حزب حركة النھضة;753;2;16689;231;115;7728;8074
Chebika;الشبيكة;Liste partisane;Ennahdha;حزب حركة النھضة;1436;7;8827;269;68;3887;4224
Cherahil;شراحيل;Liste partisane;Ennahdha;حزب حركة النھضة;244;3;2089;36;7;881;924
Echrarda;الشراردة;Liste partisane;Ennahdha;حزب حركة النھضة;1162;10;6942;93;31;2137;2261
Cheraitia ksour;الشرايطية - القصور;Liste partisane;Ennahdha;حزب حركة النھضة;720;8;4864;131;51;1560;1742
Charaê - Machrek Echems;الشرائع - مشرق الشمس;Liste partisane;Ennahdha;حزب حركة النھضة;1092;5;11743;224;95;4344;4663
Ech Cherifet;الشريفات - بوشراي;Liste partisane;Ennahdha;حزب حركة النھضة;167;1;5542;146;32;2970;3148
Skhira;الصخيرة;Liste partisane;Ennahdha;حزب حركة النھضة;962;3;16268;254;95;8787;9136
Smar;الصمار;Liste partisane;Ennahdha;حزب حركة النھضة;1248;10;5927;80;36;2314;2430
Somâa;الصمعة;Liste partisane;Ennahdha;حزب حركة النھضة;939;4;4634;94;45;2577;2716
Touiref;الطويرف;Liste partisane;Ennahdha;حزب حركة النھضة;397;4;3001;88;38;1196;1322
El Alia;العالية;Liste partisane;Ennahdha;حزب حركة النھضة;2423;15;17717;247;118;3816;4181
El Amra;العامرة;Liste partisane;Ennahdha;حزب حركة النھضة;2418;14;13596;166;78;4159;4403
El Aroussa;العروسة;Liste partisane;Ennahdha;حزب حركة النھضة;547;3;4777;76;32;1980;2088
El Achech;العشاش بوجربوع العوادنة ماجل الدرج;Liste partisane;Ennahdha;حزب حركة النھضة;722;4;8670;154;57;3339;3550
El Alaa;العلا;Liste partisane;Ennahdha;حزب حركة النھضة;1493;9;12298;387;97;4161;4645
El Amaiem;العمايم;Liste partisane;Ennahdha;حزب حركة النھضة;409;3;6337;120;38;2469;2627
