mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Ajim;اجيم;Liste partisane;Nidaa Tounes;حركة نداء تونس;499;3;10177;162;80;3683;3925
Ariana;أريانة;Liste partisane;Nidaa Tounes;حركة نداء تونس;4846;6;76783;456;335;29372;30163
Azmour;أزمور;Liste partisane;Nidaa Tounes;حركة نداء تونس;982;4;3822;47;40;1540;1627
Akouda;أكودة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1976;9;12703;136;87;5408;5631
El Ahouaz Lassouda;لسودة;Liste partisane;Nidaa Tounes;حركة نداء تونس;434;3;8595;77;44;2236;2357
El Bradaa;البرادعة;Liste partisane;Nidaa Tounes;حركة نداء تونس;480;3;6872;194;72;2993;3259
El Bassatine;البساتين;Liste partisane;Nidaa Tounes;حركة نداء تونس;775;7;5549;144;78;2021;2243
El Battane;البطان;Liste partisane;Nidaa Tounes;حركة نداء تونس;723;7;8969;145;101;1972;2218
Bekalta;البقالطة;Liste partisane;Nidaa Tounes;حركة نداء تونس;668;3;8349;127;55;4490;4672
Cité Ettadhamen;التضامن;Liste partisane;Nidaa Tounes;حركة نداء تونس;1773;8;35966;402;218;6640;7260
Djedaïda;الجديدة;Liste partisane;Nidaa Tounes;حركة نداء تونس;766;3;20932;303;157;6565;7025
DJerissa;الجريصة;Liste partisane;Nidaa Tounes;حركة نداء تونس;899;6;5938;170;82;1886;2138
El Djem;الجم;Liste partisane;Nidaa Tounes;حركة نداء تونس;2012;10;11693;164;120;4738;5022
Jouaouda;الجواودة;Liste partisane;Nidaa Tounes;حركة نداء تونس;610;7;5476;109;60;1517;1686
El Hajeb;الحاجب;Liste partisane;Nidaa Tounes;حركة نداء تونس;267;2;7521;85;43;2326;2454
El Hamma;الحامة;Liste partisane;Nidaa Tounes;حركة نداء تونس;631;3;23036;320;127;6631;7078
El Hbabsa;الحبابسة;Liste partisane;Nidaa Tounes;حركة نداء تونس;260;4;2680;108;19;810;937
Habib Thameur;الحبيب ثامر - بوعطوش;Liste partisane;Nidaa Tounes;حركة نداء تونس;421;2;14238;219;80;4027;4326
El Hchachna;الحشاشنة;Liste partisane;Nidaa Tounes;حركة نداء تونس;487;4;6922;147;68;2169;2384
El Hekaima;الحكايمة;Liste partisane;Nidaa Tounes;حركة نداء تونس;733;7;4960;133;40;1910;2083
Hammamet;الحمامات;Liste partisane;Nidaa Tounes;حركة نداء تونس;2237;5;43262;408;229;14571;15208
El Hencha;الحنشة;Liste partisane;Nidaa Tounes;حركة نداء تونس;774;4;16205;223;73;4547;4843
Khelidia;الخليدية;Liste partisane;Nidaa Tounes;حركة نداء تونس;844;5;7617;160;92;2870;3122
Khmeyria;الخمايرية;Liste partisane;Nidaa Tounes;حركة نداء تونس;1449;13;7137;203;52;1988;2243
Den - Den;الدندان;Liste partisane;Nidaa Tounes;حركة نداء تونس;884;5;16450;188;139;4392;4719
Dahmani;الدهماني;Liste partisane;Nidaa Tounes;حركة نداء تونس;1352;8;11900;336;124;4138;4598
Dhehiba;الذهيبة;Liste partisane;Nidaa Tounes;حركة نداء تونس;146;2;2137;36;10;756;802
Rejiche;الرجيش;Liste partisane;Nidaa Tounes;حركة نداء تونس;319;2;5454;74;53;2897;3024
Errakhmet;الرخمات;Liste partisane;Nidaa Tounes;حركة نداء تونس;63;0;6322;99;26;2262;2387
Redeyef;الرديف;Liste partisane;Nidaa Tounes;حركة نداء تونس;664;3;13028;172;88;5561;5821
Regueb;الرقاب;Liste partisane;Nidaa Tounes;حركة نداء تونس;2095;6;24066;210;105;8204;8519
Errouhia;الروحية;Liste partisane;Nidaa Tounes;حركة نداء تونس;702;4;7749;332;86;3274;3692
Ezzarat;الزارات;Liste partisane;Nidaa Tounes;حركة نداء تونس;64;0;5220;67;68;2168;2303
