mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
El Hencha;الحنشة;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;563;3;16205;223;73;4547;4843
Dahmani;الدهماني;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;372;2;11900;336;124;4138;4598
Ezzahra;الزهراء;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;384;1;20136;259;136;7845;8240
El Maagoula;المعقولة;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;189;2;6848;158;79;1890;2127
Monastir;المنستير;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;1386;3;46430;384;209;17457;18050
Mnihla;المنيهلة;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;371;2;30959;276;214;6959;7449
Mahdia;المهدية;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;1166;3;28714;287;181;10446;10914
Oueslatia;الوسلاتية;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;1000;5;14209;355;107;4932;5394
Beja;باجة;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;1903;6;41646;586;314;10489;11389
Baten Elghezel;باطن الغزال;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;196;1;7016;127;63;2476;2666
Bourouis;بورويس;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;129;1;6659;136;130;2823;3089
Tajerouine;تاجروين;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;328;2;14322;345;80;4909;5334
Jammel;جمال;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;637;2;22244;194;75;8834;9103
Joumine;جومين;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;367;2;11736;416;130;4587;5133
Hammam Lif;حمام الأنف;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;267;1;22538;299;110;8262;8671
Sakiet Eddaeir;ساقية الداير;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;682;2;23195;225;147;9146;9518
Sejnane;سجنان;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;261;1;10470;278;85;3978;4341
Siliana;سليانة;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;1898;7;22943;306;130;6561;6997
Sousse;سوسة;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;2998;4;102744;921;561;30012;31494
Sidi Bouali;سيدي بوعلي;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;113;0;9478;159;72;4601;4832
Sfax;صفاقس;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;3384;3;148647;1007;784;45446;47237
Ghardimaou;غار الدماء;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;170;0;20171;289;174;5869;6332
Gaafour;قعفور;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;197;1;8989;205;74;2927;3206
Kalaat Senan;قلعة سنان;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;510;3;7435;220;58;2747;3025
Kelibia;قليبية;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;1041;4;24622;231;120;9544;9895
Majel Bel Abbes;ماجل بلعباس;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;449;2;11045;197;65;4835;5097
Menzel Bouzelfa;منزل بوزلفة;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;828;3;21036;244;154;6337;6735
Menzel Temime;منزل تميم;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;1179;5;25864;239;172;7687;8098
Nabeul;نابل;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;1749;3;41924;494;327;16466;17287
Nefza;نفزة;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;94;0;15663;428;153;5816;6397
Ouechtata;وشتاتة - الجميلة;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;117;1;11702;328;70;3789;4178
