mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Ben Arous;بن عروس;Liste partisane;El Binaa Al Watani;فك بلاصتك;273;0;46708;536;246;11879;12661
El Mourouj;المروج;Liste partisane;El Binaa Al Watani;فك بلاصتك;230;0;50600;325;195;14620;15140
Fouchana;فوشانة;Liste partisane;El Binaa Al Watani;فك بلاصتك;283;0;20443;297;142;6869;7308
Gabes;قابس;Liste partisane;El Binaa Al Watani;فك بلاصتك;331;0;51010;261;251;14461;14973
Ghomrassen;غمراسن;Liste partisane;El Binaa Al Watani;فك بلاصتك;142;1;7818;71;39;2166;2276
Ghraiba;الغريبة;Liste partisane;El Binaa Al Watani;فك بلاصتك;144;2;7670;90;46;1857;1993
Jendouba;جندوبة;Liste partisane;El Binaa Al Watani;فك بلاصتك;296;0;49945;579;303;10156;11038
Ksour Essaf;قصور الساف;Liste partisane;El Binaa Al Watani;فك بلاصتك;132;0;15764;91;93;5848;6032
Moknine;المكنين;Liste partisane;El Binaa Al Watani;فك بلاصتك;129;0;25874;229;99;9781;10109
Monastir;المنستير;Liste partisane;El Binaa Al Watani;فك بلاصتك;109;0;46430;384;209;17457;18050
Sidi Hassine;سيدي حسين;Liste partisane;El Binaa Al Watani;فك بلاصتك;261;1;38119;392;296;8484;9172
Tataouine;تطاوين;Liste partisane;El Binaa Al Watani;فك بلاصتك;111;0;37780;211;153;8800;9164
Teboulba;طبلبة;Liste partisane;El Binaa Al Watani;فك بلاصتك;232;1;17748;170;79;7636;7885
Tozeur;توزر;Liste partisane;El Binaa Al Watani;فك بلاصتك;149;0;27942;279;167;8453;8899
Tunis;تونس;Liste partisane;El Binaa Al Watani;فك بلاصتك;1384;0;328134;2831;2058;79569;84458
El Mida;الميدة;Liste partisane;La Rencontre Démocratique;حزب اللقاء الدیمقراطي;319;2;12970;209;92;4670;4971
Hammam El Ghezaz;حمام الغزاز;Liste partisane;La Rencontre Démocratique;حزب اللقاء الدیمقراطي;155;1;5031;69;43;2219;2331
Nasrallah;نصر الله;Liste partisane;La Rencontre Démocratique;حزب اللقاء الدیمقراطي;149;1;10945;269;73;3363;3705
Mednine;مدنين;Liste partisane;Mouvement De La Lutte Patriotique;النضال الوطني;703;2;47023;382;238;15089;15709
Foussana;فوسانة;Liste partisane;Mouvement Démocrate;الحركة الدیمقراطیة;733;3;16494;329;101;6872;7302
Mdhila;المظيلة;Liste partisane;Parti Des Verts Pour Le Progrès;الخضر للتقدم;150;1;8969;176;47;4274;4497
Bizerte;بنزرت;Liste partisane;Sawt Ettounsi;حزب صوت التونسي;846;2;80820;950;445;18963;20358
Joumine;جومين;Liste partisane;Sawt Ettounsi;حزب صوت التونسي;195;1;11736;416;130;4587;5133
El Fahs;الفحص;Liste partisane;Tounes Awalan;حركة تونس أولا;301;1;15911;232;119;5106;5457
Menzel Bouzaiane;منزل بوزيان;Liste partisane;Mouvement démocrates socialistes;حركة الدیمقراطیین الاجتماعیین;178;0;16625;236;114;6880;7230
