mun_fr;mun_ar;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Ajim;اجيم;10177;162;80;3683;3925
Ariana;أريانة;76783;456;335;29372;30163
Azmour;أزمور;3822;47;40;1540;1627
Akouda;أكودة;12703;136;87;5408;5631
El Ahouaz Lassouda;لسودة;8595;77;44;2236;2357
El Bradaa;البرادعة;6872;194;72;2993;3259
El Bassatine;البساتين;5549;144;78;2021;2243
El Battane;البطان;8969;145;101;1972;2218
Bekalta;البقالطة;8349;127;55;4490;4672
Cité Ettadhamen;التضامن;35966;402;218;6640;7260
Djedaïda;الجديدة;20932;303;157;6565;7025
DJerissa;الجريصة;5938;170;82;1886;2138
El Djem;الجم;11693;164;120;4738;5022
Jouaouda;الجواودة;5476;109;60;1517;1686
El Hajeb;الحاجب;7521;85;43;2326;2454
El Hamma;الحامة;23036;320;127;6631;7078
El Hbabsa;الحبابسة;2680;108;19;810;937
Habib Thameur;الحبيب ثامر - بوعطوش;14238;219;80;4027;4326
El Hchachna;الحشاشنة;6922;147;68;2169;2384
El Hekaima;الحكايمة;4960;133;40;1910;2083
Hammamet;الحمامات;43262;408;229;14571;15208
El Hencha;الحنشة;16205;223;73;4547;4843
Khelidia;الخليدية;7617;160;92;2870;3122
Khmeyria;الخمايرية;7137;203;52;1988;2243
Den - Den;الدندان;16450;188;139;4392;4719
Dahmani;الدهماني;11900;336;124;4138;4598
Dhehiba;الذهيبة;2137;36;10;756;802
Rejiche;الرجيش;5454;53;74;2897;3024
Errakhmet;الرخمات;6322;99;26;2262;2387
Redeyef;الرديف;13028;172;88;5561;5821
Regueb;الرقاب;24066;210;105;8204;8519
Errouhia;الروحية;7749;332;86;3274;3692
Ezzarat;الزارات;5220;67;68;2168;2303
Ezzriba;الزريبة;12590;268;112;5355;5735
Zaafrane;الزعفران - دير الكاف;5767;133;46;1341;1520
Ezzahra;الزهراء;20136;259;136;7845;8240
Ezzouhour;الزهور;8661;149;53;3297;3499
Ezzouhour - Kasserine;الزهور - القصرين;14131;231;71;4600;4902
Sahline Môotmar;الساحلين - معتمر;9833;212;85;4282;4579
Sbikha;السبيخة;17576;359;83;6138;6580
Sers;السرس;9432;291;70;2912;3273
Esslouguia;السلوقية;3172;30;31;1351;1412
Sned;السند;10501;135;82;4450;4667
Essouassi;السواسي;11967;193;113;5935;6241
Chebba;الشابة;16689;231;115;7728;8074
Chebika;الشبيكة;8827;269;68;3887;4224
Cherahil;شراحيل;2089;36;7;881;924
Echrarda;الشراردة;6942;93;31;2137;2261
Cheraitia ksour;الشرايطية - القصور;4864;131;51;1560;1742
Charaê - Machrek Echems;الشرائع - مشرق الشمس;11743;224;95;4344;4663
Ech Cherifet;الشريفات - بوشراي;5542;146;32;2970;3148
Skhira;الصخيرة;16268;254;95;8787;9136
Smar;الصمار;5927;80;36;2314;2430
Somâa;الصمعة;4634;94;45;2577;2716
Touiref;الطويرف;3001;88;38;1196;1322
El Alia;العالية;17717;247;118;3816;4181
El Amra;العامرة;13596;166;78;4159;4403
El Aroussa;العروسة;4777;76;32;1980;2088
El Achech;العشاش بوجربوع العوادنة ماجل الدرج;8670;154;57;3339;3550
El Alaa;العلا;12298;387;97;4161;4645
El Amaiem;العمايم;6337;120;38;2469;2627
El Aouabed El Khazanet;العوابد - الخزانات;12781;131;91;4545;4767
El Ain;العين;28468;247;196;10577;11020
El Ayoun;العيون;8435;207;63;4351;4621
Ghraiba;الغريبة;7670;90;46;1857;1993
El Fahs;الفحص;15911;232;119;5106;5457
El Faouar;الفوار;9566;215;75;5168;5458
Grimet Hicher;القريمات - هيشر;6898;143;55;3738;3936
